,Description,ASIN,Product Description,Manufacturer
141,"   Care Instructions: Hand Wash Only    Handcrafted with care and made up of premium quality robust material    
",ASIN                                                                            :                                                                     B07XVMVV77,,Manufacturer                                                                            :                                                                     Safari Industries
142,"   Lavie Mortiz sling bag is a perfect blend of stylish & quirk for fashionable ladies. It is extra durable, light weight, spacious and comes in multiple colors. This dome shaped bag is made of premium man-made leather. The bag has a well-stitched inner lining for easy accessibility and storage. It comes with a colour blocking pattern on front & printed stripes design in soft premium texture.    Dimension : 23 cm in length X 10 cm in width X 19 cm in height    This sling bag has a top zip closure for safety and comfort. The footed bottom helps to keep your stuff in place. The interior has 1 main compartment, 2 slip pockets alongside 1 zip pocket, providing plenty multi-Purpose storage for keeping phone, portable charger, keys, hairbrush, wallet, pocket perfume, sunglasses etc.    This sling is perfect for women to carry for a reunion party, a weekend getaway or even an evening at the beach. It can be paired with a basic crop top and jeans, a skater dress or even a jumpsuit. This spacious yet sturdy bag makes for a perfect gift for all your occasions    
",ASIN                                                                            :                                                                     B0BR1C59R8,,Is Discontinued By Manufacturer                                                                            :                                                                     No
143,"   High-Quality Materials : Travel makeup pouch made of easy-to-clean PU leather fabric, special water-resistant surface to prevent internal products from getting wet.    PU Leather makeup bag function : Portable and Lightweight design with handle, Made of high-quality soft PU leather fabric, strong thickness make the bag more durable and easy to clean, special water-resistant surface to prevent internal products from getting wet.No need to worry about messy leaks when traveling.    Multifunctional storage makeup bags : This Make up Bags not only can storage your cosmetics, but also Jewelry, Electronic Accessories, Camera, Essential oil, Toiletries, Shaving Kit, glasses,Valuable objects and so on.    Convenient and Durable Handle : The zipper of the makeup travel bag opening design is reasonable,It's a easy to handle and very practical zipper pouch    Wonderful Gift : The travel makeup bag is perfect for daily use or travelling, it's a great gift for women and girls with the gift box on Mother's Day, Women's Day or Christmas .    
",ASIN                                                                            :                                                                     B0BLVQ9NTD,,Manufacturer                                                                            :                                                                     Bagzone Lifestyle Pvt Ltd
144,"   Care Instructions: Hand Wash Only    Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack    
",ASIN                                                                            :                                                                     B0C7KP9FN6,,Is Discontinued By Manufacturer                                                                            :                                                                     No
145,"   Stylish, gaming-inspired design with the cyber-text pattern and ROG Logo. Material : Polyester    Quick-access exterior pocket for your essential accessories    Generous 16L interior for easy transport of an up 15.6-inch laptop    It also features Ghost chain for better security, Large air mesh back & Luggage strap    
› See more product details ",ASIN                                                                            :                                                                     B0C3MH4NDY,,Manufacturer                                                                            :                                                                     Hindustan Foam
146,"   Material / Dimension : Outer Material - Premium leatherette Fabric, Inner Material – Soft Polyester, Size: 43 cm x 23 cm x 23 cm. (L x B x H), Color : Black    Capacity: 23 Liters, 1 Large Double Zip Closure Compartment, 1 external Mesh Organizer Pocket for the earphones, ID card, Sanitizer, House keys, Fitness Band. 1 Main Compartment for all your Gym Clothes, Gym belt, towel, Gym gloves, shaker, shoe Pair etc.    Design: Design with Self Embossed logo On the Premium Leatherette Heavy Quality Material. 3.8 Cm Wide and 125 cm Long Adjustable Handle and Double side easy carry handle.    Manufacturing & Warranty: This Product is made in INDIA By “The INDIAN KARIGAR “ and pass though the many quality checks and tests This Product is come With 1 year of Warranty.    Suitable: Auxter Black Gym Bag/ Duffel bag is suitable for gym, Day trip bag, casual round bag, travel bag is suitable for men women boys and Girls. This Bag is trending For Gift Purpose    
",ASIN                                                                            :                                                                     B012D51GXO,,Manufacturer                                                                            :                                                                     Gear
147,"   Spacious with multiple pockets: It is a trendy waist pouch with 4 separate zipper pockets of different size for all your needs;the largest pocket of this side bag can easily hold a small water bottle or a wallet; Other pockets in this belt bag can conceal your money, mobile, coins, glasses, and other tourist accessories    Water resistant RFID material: Made of premium water resistant polyester with RFID security in the front pocket, this waist bag is sturdy and provides protection to your passport and cards; It'll make a great addition for your daily errands and outdoor activities, perfect for walking, running, biking,cycling, hiking, travelling, tour, festivals, fairs, concerts and farmers market etc    International branded zippers: Zippers are a very important component of any chest bag for men and should never be compromised; This money bag uses premium SBS zipper which are used by stylish and global fashion brands    Adjustable strap: The flexible strap, with strong and reliable buckle, ranges from 20.0-46.0 inches(including the bag) and can be adjusted to accommodate a fluffy man or woman or even very skinny men or women; Easily and quickly adjusts to whatever length you need and will remain at your chosen length without loosening; It can be worn on body as chest bag for men, side bags for men, waist pouch for men, hip bag or money bag for men    Waterproof back pocket: The last pocket at the back of this fanny bag for men has waterproof inner lining and waterproof zipper; So no need to worry about keeping essential men's travel accessories like passport, mobile phone, documents and money safe in rain    
",ASIN                                                                            :                                                                     B09B28M2RN,,Manufacturer                                                                            :                                                                     Walkent OEM
148,"   Care Instructions: Hand Wash Only    A super sleek and casual 17L daypack. Ideal for college student or a day tour. Big enough to carry all your essentials. Sleek enough to carry it with ease    
",ASIN                                                                            :                                                                     B09243WY6M,,Manufacturer                                                                            :                                                                     FUR JADEN
149,"   KEY FEATURES - Grey Colour Laptop Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.    Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. IMPORTANT NOTE: We do NOT provide Free Portable Charger with the Bag    Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.    Essence of Fur Jaden - We craft signature Laptop Backpacks and Casual Backpacks that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication. We strive to make thoughtful designs that are high on aesthetics as well as on utility and functionality.    WARRANTY- 6 Month Manufacturer Warranty. 100% Genuine Fur Jaden Men products, 10 days No Question asked replacement guarantee from the date of delivery.    
",ASIN                                                                            :                                                                     B0814PV49H,,Manufacturer                                                                            :                                                                     1
150,"   LARGE CAPACITY: Fur Jaden Brings to you this fancy and trendy backback which can be used as a school or college or office backpack with a huge compartment which comes with a Laptop Sleeve and can fit all laptops upto 15.6 Inch . Dimension of Backpack: 42 x30 x 15 cm (L x H x D)    Unisex Backpack: This shoulder backpack can be used by both Boys and Girls as its versatile colour stands out beautifully on both and adds a charm to the persona of the person carrying it.    DURABLE & COMFORTABLE: A Solid and Wearable school / college backpack with Exterior made from durable polyester fabric and interior has polyester lining.    The Shoulder straps are padded which helps to avoid shoulder pain and gives you a better feeling when carrying this daypack.    Warranty- 6 Month Manufacturer Warranty Against Manufacturing Defects    
",ASIN                                                                            :                                                                     B0844R2GMK,,Manufacturer                                                                            :                                                                     ADISA
151,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",ASIN                                                                            :                                                                     B07P2TQH78,,Is Discontinued By Manufacturer                                                                            :                                                                     No
152,"   Care Instructions: Hand Wash Only    The front and side zipper compartments of the backpack make it simple to store items like tablets, diaries, pens, pencils, smartphones, cards, change and other small items. The backpack's side pockets make it easy to carry along tiny goods like mini umbrellas and water bottles.    MADE IN INDIA - This ""MAKE IN INDIA"" laptop bag for men has 2 front zip pockets, 2 side bottle pockets, and 1 huge zipped section. For men, women, boys, and girls, this bag works great for the office, school, and college. In fact, it's the ideal all-purpose backpack for men, school bags for girls and boys, college bags for girls and boys and workplace bags for unisex    LAPTOP BACKPACK SPECIFICATIONS - Men's NEXA Laptop Backpack; Compartment Size: Up to 15.6 Inches. 30 litres is the capacity. 15 x 11.5 x 3 inches in size.    NEXA padded laptop backpack with internal organiser and sleeve that can handle up to 15.6"" laptops. Compatible laptops include those made by HP, Lenovo, Acer, ASUS, and Dell. Your keys, cords, office supplies, and other valuables can be neatly organised inside the organiser to avoid theft.    The Tabelito Casual Backpack is entirely produced in India and goes through strict quality inspections and tests. Water Resistant Material: The material has an advanced IPX4 coating that prevents water from penetrating from any angle.    The backpack features a 30L capacity and a padded laptop pocket that fits a 15.6 inch laptop. Additional necessities that can fit within are a lunchbox, charger, tablet, books, power bank, wallet, and sunglasses.    
",ASIN                                                                            :                                                                     B08D76PV8B,,Manufacturer                                                                            :                                                                     Gear
153,"   DURABLE AND ULTRALIGHT: Made from water repellent and tear resistant fabric yet Weighs only 630 gms    FOLDABLE AND SPACIOUS: Capacity 60L. Unfolded Size: 22.5x14x11 inch, Folded Pouch Size: 11x11 inch    VERSATILE: Perfect for use as a gym bag, sports bag, storage bag, weekender bag or Just-In-Case bag    EVERYTHING ORGANIZED: A shoe compartment and 4 outer zippered pockets for easy access to essentials    JUST WHEN YOU NEED IT: Simply unfold the pouch to use as a luggage bag in case your suitcase swell    
",ASIN                                                                            :                                                                     B0C7KQS5R3,,Manufacturer                                                                            :                                                                     Fur Jaden
154,"   MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.    LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.    WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.    PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.    1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: Navy Blue; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult    
",ASIN                                                                            :                                                                     B09VTCNN75,,Manufacturer                                                                            :                                                                     SHABA BAGS
155,"   This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.    Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.    Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.    Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.    FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc    
",ASIN                                                                            :                                                                     B09H7PK5ML,,Manufacturer                                                                            :                                                                     Acefour Accessories Pvt. Ltd.
156,"   Care Instructions: Hand Wash Only    A super sleek and casual 22L daypack. Ideal for college student or a day tour. Big enough to carry all your essentials. Sleek enough to carry it with ease    
",ASIN                                                                            :                                                                     B09TPY1G1W,,Manufacturer                                                                            :                                                                     Acefour Accessories Pvt. Ltd.
157,"   One Main compartment and Laptop Compartment with front pocket & 2 side bottle sleeves    Dimensions 45 x 32 x 17 cm    Capacity 20L    Premium YKK zippers    
",ASIN                                                                            :                                                                     B016115VXW,,Manufacturer                                                                            :                                                                     FUR JADEN
158,"   Care Instructions: Hand Wash Only    MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack for men features with multiple storage compartments and for additional supplies and accessories such as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: The school bag for boys is made up of superior quality which is durable, eco-friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.    COMFORTABLE DESIGN: Our school bag for boys ""S"" Curve is adjustable, heavily padded shoulder straps and back panel make the school bag more comfortable to wear even when loaded with all your gear; Compact: Backpack for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella and thus it is best school bags for boys.    Size:18*13*9 inch(L*W*H), Capacity: The college bag has capacity of 36.5L which is bigger than others of the same style. Good size for school bags, college bag, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch; Pocket Description: Utility Pocket    Compartment Description: The backpack for men is not laptop compatible; Warranty Description: 1 Year From The Date Of Purchase, Water Resistance Level: Waterproof    
",ASIN                                                                            :                                                                     B08GY2ZN96,,"Manufacturer                                                                            :                                                                     Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020"
159,"   DURABLE MATERIAL:Diaper bags made of environmental and durable oxford material,water resistant and easy to wipe clean, strong zippers,you'll have a diaper backpack that lasts for years.    LARGE CAPACITY: Dimension L x W x H 41 x 18 x 25.5 cm, 16.1"" x 7.0"" x 10.0"" inch,it is very roomy and contains individual functional pockets, can hold all your essential items for baby care,such as baby diaper,milk bottle towel,water bottle, changing pad,snacks.    MULTI FUNCTION: You can use this bag as backpack and handbag. It is very elegant and suitable for many occasion like shopping, traveling etc. A fashionable backpack that can be carried by moms and dads alike.    WELL-DESIGNED:Wet and Dry Separation design,don't worry for baby's wet cloth, you can put the wet cloth in the separated inner pocket,A zipper in the back of the bag can be opened for easy access,wide mouth design top opening can offer you a large view.    BEST GIFT IDEA:Perfect baby shower gift for a special new Mommy,we designed a compact diaper backpack that combines style, versatility and convenience.suitable for many occasions like shopping, restaurant, traveling etc.Great for a wedding gift,business gift,New mother gift,holiday gift etc.    
› See more product details ",ASIN                                                                            :                                                                     B0BSHBC51P,,Manufacturer                                                                            :                                                                     Safari Industries (India) Ltd
160,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",ASIN                                                                            :                                                                     B0BS6QM2GD,,
161,"   MULTI-FUNCTION COMPARTMENT: HALF MOON laptop bag for men features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.    DURABLE MATERIAL: The Laptop bag for men / backpack for men has superior quality durable eco-friendly waterproof and anti-scratch polyester and this office bag for men / Laptop backpacks for men features a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.    COMFORTABLE DESIGN IN LAPTOP BAG FOR MEN: Our backpack for men’s ""S"" Curve adjustable, heavily padded shoulder straps and back panel make the college bags for men comfortable to wear even when loaded with all your gear; Compact: The backpack for men / college bags for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.    SIZE OF LAPTOP BAG FOR MEN:18*13*10 inch(L*W*H), Capacity: The office bag for men has capacity of 35L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and office bag for women.    OTHER FEATURES OF OFFICE BAG FOR MEN: The office bag for men and office bag for women has laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.    
",ASIN                                                                            :                                                                     B0BR1C59R8,,
162,"   Care Instructions: Wipe with Damp Cloth    Hard shell top material that is waterproof and scratch-resistant, ensuring your belongings stay safe and dry    32 liters of capacity, with side bottle pockets, external USB and cushioned back panel for easy carry, making it perfect for office and college use    Anti-theft card and mobile pocket at the back for added security, perfect for commuting to work or school. Top that with built-in TSA lock to secure things inside the bag    Trolley strap for ease of travel, allowing you to attach the backpack to your luggage for hands-free transportation. Breathable and adjustable shoulder straps for a comfortable fit, even during long commutes or walks    Stylish and fashionable design that is perfect for both men and women, making it a versatile accessory for any outfit or occasion    
",ASIN                                                                            :                                                                     B0BWNBQXDZ,,
163,"   Care Instructions: Wipe with Dry Cloth    Unique Diamond Cut ABS Hard-shell Design. Accommodates Upto 15.6"" Laptop.    Kissing Zip Pullers for Locking Mechanism. Separate Compartment for IPad / Notebook.    Velcro Flap to Prevent 180° Opening. Elasticated File / Documents Holder. 180° Opening for Packing / Unpacking Ease. Separate Mesh Zipper Pocket for Accessories.    Spacious Garments / Files Pocket for Overnight Travel. Miscellaneous Storage pockets for organizing ease.    Premium Padded Back Mesh Panel for Extra Comfort. Adjustable Shoulder Strap for Comfort Fit. Comfort Grip Carrying Handle.    
",ASIN                                                                            :                                                                     B09VTDMRY7,,
164,"   Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant; Dimensions: 35 cms x 19 cms x 47 cms (LxWxH)    Front pocket and front-top pocket for easy access to documents and travel liquids; main upper packing compartment with organizer, expandable storage space, and key clip; hide-away water-bottle pocket; tuck-away I pocket    Number of compartments: 2    Laptop Compatibility: Yes, Size: 16 inches    Light Weight    Durable    
   Padded Shoulders Warranty Type: Manufacturer; 5 years domestic warranty   Show More  ",ASIN                                                                            :                                                                     B0C3MH4NDY,,
165,"   100% Polyester, High Quality, Durable and Water Resistant Fabric    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight    
",ASIN                                                                            :                                                                     B084ZHP97M,,
166,"   ?DIMENSIONS: 32 Cm x 24 Cm x 48 Cm, CAPACITY: 35 Litres; ?NUMBER OF COMPARTMENTS: 3 full size compartments, 2 front zippers & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15.6 inches<br>    ?MATERIAL: Polyester, Water Resistant, COLOR: Navy Blue & Grey<br>    ?SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable S-Curved shoulder straps which protects the backbone and help to relieve stress on shoulders, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets, 2 front tiffin pockets, rain cover in the side pocket<br>    ?CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTY: 12 Months, Make in India product<br>    Compartment Description: Up To 15 Inches; Style Name: Daypack Backpacks; Pattern Name: Solid; Pocket Description: Utility Pocket<br>    
",ASIN                                                                            :                                                                     B07NSBSV2Y,,
167,"   Lavie Pavo tote is a must have for trend-driven women. It is durable, lightweight, and available in multiple trendy colors. Made from premium man-made leather, this hand bag has the latest saffiano texture at the front.    Dimension: 40 cm in length x 14 cm in width x 32 cm in height    Pavo hand bag has a top zip closure for safety and comfort. The bag has a spacious main compartment, one zipper pocket inside and at the back, 2 non-zipper pockets, providing plenty space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer etc. It has dual shoulder straps and an adjustable sling belt for multipurpose use.    This tote is perfect for women to carry for a weekend getaway or a date night. It can be paired with a cute crop top and jeans as well as a denim jumpsuit. This trendy tote is a great gift for all occasions.    The bag has a well stitched inner lining and high quality zippers for easy accessibility and storage.    
",,,
168,"   ?DIMENSIONS: 30 Cm x 23 Cm x 47 Cm, CAPACITY: 34 Litres; ?NUMBER OF COMPARTMENTS: 3 full size compartments, 1 front zippers & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15.6 inches<br>    ?MATERIAL: Polyester, Water Resistant, COLOR: Navy Blue & Orange<br>    ?SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable S-Curved shoulder straps which protects the backbone and help to relieve stress on shoulders, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets, 1 front tiffin pocket, rain cover in the side pocket<br>    ?CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTY: 12 Months, Make in India product<br>    Special Features: Bottle Holder; Style Name: Daypack Backpacks; Pattern Name: Solid; Compartment Description: Up To 15 Inches<br>    
",,,
169,"   DURABLE MATERIAL:Diaper bags made of environmental and durable oxford material,water resistant and easy to wipe clean, strong zippers,you'll have a diaper backpack that lasts for years.    LARGE CAPACITY: Dimension L x W x H 41 x 18 x 25.5 cm, 16.1"" x 7.0"" x 10.0"" inch,it is very roomy and contains individual functional pockets, can hold all your essential items for baby care,such as baby diaper,milk bottle towel,water bottle, changing pad,snacks.    MULTI FUNCTION: You can use this bag as backpack and handbag. It is very elegant and suitable for many occasion like shopping, traveling etc. A fashionable backpack that can be carried by moms and dads alike.    WELL-DESIGNED:Wet and Dry Separation design,don't worry for baby's wet cloth, you can put the wet cloth in the separated inner pocket,A zipper in the back of the bag can be opened for easy access,wide mouth design top opening can offer you a large view.    BEST GIFT IDEA:Perfect baby shower gift for a special new Mommy,we designed a compact diaper backpack that combines style, versatility and convenience.suitable for many occasions like shopping, restaurant, traveling etc.Great for a wedding gift,business gift,New mother gift,holiday gift etc.    
› See more product details ",,,
170,"   Genuine Leather: This laptop bag for men / office bag for men is made of 100% Full Grain Genuine Leather, making it the perfect accessory for office, travel, and daily use. The high-quality leather not only ensures longevity but also adds a touch of elegance to your style. We will gladly reward 100 Times the value of the product upon certification from any accredited labs like ""SGS"" or ""CLRI"" if proven otherwise.    Features Of Laptop Bag For Men: 1 Main Compartment, 1 Padded Laptop Compartment, 1 Inner Zipper Pocket, 1 Mobile Pocket, 1 Wallet Pocket, and 2 Pen Slots | Brand's Brass Rivits | Heavy Duty Antirust Metal Fittings | Brand's Jacquard Fabrics | Brand's zippers & sliders | Stitched by a quality nylon thread. | 2 Grab Handles | Dimension: L - 40 B - 8 H - 29 cm | Water Resistance Level: Water Resistant    Design Decency Office Bag For Men: This Hammonds Flycatcher genuine leather bag for men is designed by our professional designers which set you apart and outstandingly positioned in the crowd, makes you stand out an organized person. These are not Vegan Leather which will contain shine on its surface. Start your journey now with this leather bag for men as a messenger bag, shoulder bag, office bag , briefcase or laptop bag. Suitable for your school, office, college, & business for everyday use.    Perfectly Fits Up to 14/15.6/16 Inch Laptop/MacBook: Designed to accommodate laptops, MacBooks, and notebooks up to 14/15.6/16 inches, this bag provides a secure and padded compartment to keep your device protected during transit. The well-padded interior ensures maximum safety for your laptop, minimizing the risk of damage while you're on the move.    Perfect Gift: This office bag for men is a great gifts for men / gift idea for Father's Day, Birthdays, Valentine's Day, Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift. The Leather laptop bag makes a great gift for professionals, artists, students, and all sorts of officials.    
",,,
171,"   Care Instructions: Hand Wash Only    Outer Material: Polyester, Color: Orange Rust Black    Water resistant    Capacity: 16 liters; Weight: 180 grams; Dimensions: 42 cms x 28 cms x 14 cms (LxWxH)    Number of compartments: 1    Laptop Compatibility: NoStrap Type: Yes    Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase    
   Waterproof interior and exterior fabric for double protection Ergonomically contoured shape Easy access Pocket for quick handiness Shoulder straps padded with pp foam/ eva sheet. Anti slip fabric / breathable spongy mesh on shoulder stpars   Show More  ",,,
172,"   Care Instructions: Wipe with Damp Cloth    Protect your laptop in style with the Walkent Aviator laptop bag - a perfect blend of fashion and functionality    Stay organized and keep your accessories within easy reach with the bag's front utility pockets    Enjoy maximum comfort with the cushioned shoulder straps and front chest straps for easy load distribution    Keep yourself hydrated on the go with the side bottle pockets, and easily attach the bag to your luggage with the trolley sleeve    Made of waterproof and scratch-resistant polyester, this laptop backpack is perfect for office and college use, and is a must-have accessory for men who want to make a statement    
",,,
173,"   Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>    Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult<br>    
",,,
174,"   Care Instructions: Hand Wash Only    Care Instructions: Wipe with Damp Cloth    This business laptop backpack design with separate laptop compartment to hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. 2 spacious packing compartments roomy for iPad,mouse,charger,binders,books,clothes,ect. Front compartment with many pockets, pen pockets and key fob hook, make your items organized and easier to find.    Night Vision Reflective Design: night vision reflective material in the front of the bag,it would be noticed easily while you are running or bicycling at night, keeping you safe.    USB PORT-With outside USB charger and inside charging cable ,this usb backpack offers you a more convenient way to charge your phone/electronic device while walking. Please kindly noted that usb charging port only offers an easy access to charge, this backpack do not provide power itself.    Superior Material&Solid: Made with durable, Water resistant Polyester to withstand harsh conditions and easy to clea makes this backpack simple but look stylish. Perfect for college school, business trips, hiking, camping, office work and everyday use.    
",,,
175,"   Material: Water Resistant Light-Weight Polyester<br>    Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>    Closure Type: Zipper<br>    
",,,
176,"   Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex    Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps    Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks    Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket    Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry    
› See more product details ",,,
177,"   This lightweight gym bag will stylishly carry your workout clothes and other essentials from your home to gym sport    This is the perfect value bag intended use for athletic, gym, travel, camping, hiking, weekend and carry on or overnight as it is spacious as well as functional    With a perfect combination of style and durability, you just can't go wrong with this bag    
",,,
